C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
8527;HIP 46143                          HD 81896                           ;*  ;09 24 37.0843779288 -70 04 32.814349716;09 24 37.0877054105 -70 04 32.833918884;09 23 58.9365329157 -69 51 32.855312780;286.9367627222027 -13.9302159596307; -42.961 -0.752     ;4.7202    ;v    12.29    ;12.29       ;0.000041    ;12.29       ;     ~   ;7.73     ;6.45     ;     ~   ;     ~   ;K1III                ;  11 ;   0
8528;HIP 109973                         * mu.02 Gru                        ;*  ;22 16 26.5517539200 -41 37 37.854126516;22 16 26.5524553231 -41 37 37.837250770;22 13 26.4601763946 -41 52 36.141283657;358.1142719431947 -55.2582140286752;-17.666 -13.765     ;14.508    ;v    15.90    ;15.90       ;0.000053    ;15.90       ;     ~   ;6.036    ;5.117    ;     ~   ;     ~   ;G8III                ;  23 ;   0
8529;HIP 57791                          HD 102928                          ;SB*;11 51 02.2295090976 -05 19 59.993484060;11 51 02.2311573050 -05 20 00.003355146;11 48 28.7403666530 -05 03 18.650108841;276.4680421581538 +54.4053226378353;   2.129 -1.840     ;14.8582   ;v    14.12    ;14.12       ;0.000047    ;14.12       ;     ~   ;6.676    ;5.622    ;     ~   ;     ~   ;K0+IIIb:             ;  96 ;   0
8530;HIP 15110                          * zet Ari                          ;PM*;03 14 54.0983200320 +21 02 40.009229304;03 14 54.1003588469 +21 02 40.000276305;03 12 01.3253414370 +20 51 37.882922309;162.3841201778900 -30.6233663105848;-26.276 -73.782     ;11.8942   ;v     7.30    ;7.30        ;0.000024    ;7.30        ;     ~   ;4.858    ;4.869    ;     ~   ;     ~   ;A1V                  ;  92 ;   0
8531;HIP 37478                          HD 61887                           ;V* ;07 41 35.1550370520 +03 37 29.204863788;07 41 35.1565623921 +03 37 29.182984087;07 38 57.5308725076 +03 44 34.803093120;215.4308006314650 +12.8048800137556; -2.879 -19.994     ;5.2103    ;v   -17.00    ;-17.00      ;-0.000057   ;-17.00      ;     ~   ;5.905    ;5.942    ;     ~   ;     ~   ;B9.5IV/V             ;  45 ;   0
8532;HIP 39734                          HD 67456                           ;*  ;08 07 18.0399962448 -20 33 15.635345400;08 07 18.0415919536 -20 33 15.657052351;08 05 05.6077621205 -20 24 31.271625128;239.9341345751225 +06.3579890741499;   -9.934 0.910     ;2.0071    ;v    14.20    ;14.20       ;0.000047    ;14.20       ;     ~   ;5.423    ;5.338    ;     ~   ;     ~   ;A3Ib/II              ;  62 ;   0
8533;HIP 96977                          HD 186377                          ;*  ;19 42 44.6059835256 +32 25 36.272298504;19 42 44.6075281755 +32 25 36.294176340;19 40 49.0543816803 +32 18 25.729222633;067.2912967600176 +04.4586312717650;   2.042 -0.702     ;1.5718    ;v    -7.20    ;-7.20       ;-0.000024   ;-7.20       ;     ~   ;6.030    ;5.925    ;     ~   ;     ~   ;A5III                ;  43 ;   0
8534;HIP 59394                          * 3 Crv                            ;PM*;12 11 03.8390016096 -23 36 08.715836340;12 11 03.8411200660 -23 36 08.723965421;12 08 29.0881943947 -23 19 26.256971801;291.1168750396826 +38.3412990415612;-66.124 -20.205     ;16.3368   ;v    14.41    ;14.41       ;0.000048    ;14.41       ;     ~   ;5.52     ;5.47     ;     ~   ;     ~   ;A1V                  ;  57 ;   0
8535;HIP 37300                          * f Gem                            ;** ;07 39 28.5933680280 +17 40 28.278616584;07 39 28.5948923000 +17 40 28.256734918;07 36 35.3981940007 +17 47 24.029364765;202.0115326279568 +18.3538887667919;   5.374 -1.199     ;5.1083    ;v    25.38    ;25.38       ;0.000085    ;25.38       ;8.53     ;6.61     ;5.05     ;     ~   ;     ~   ;K5.5III              ;  80 ;   0
8536;HIP 25428                          * bet Tau                          ;PM*;05 26 17.51312 +28 36 26.8262          ;05 26 17.51508 +28 36 26.8079          ;05 23 07.71055 +28 34 01.7953          ;177.99440340 -03.74540398          ;  22.76 -173.58     ;24.36     ;v     9.2     ;9.2         ;0.000031    ;9.20        ;1.03     ;1.52     ;1.65     ;1.66     ;1.76     ;B7III                ; 362 ;   1
8537;HIP 58574                          HD 104307                          ;*  ;12 00 42.2218184568 -21 50 14.990221068;12 00 42.2238775037 -21 50 14.999259921;11 58 08.5685920838 -21 33 32.118886326;287.6119786335469 +39.5202311547504; -9.325 -10.520     ;5.2042    ;v     6.50    ;6.50        ;0.000022    ;6.50        ;     ~   ;7.491    ;6.255    ;     ~   ;     ~   ;K2III                ;  38 ;   0
8538;HIP 108506                         HD 208801                          ;PM*;21 58 54.9854214456 -04 22 23.191421052;21 58 54.9868838772 -04 22 23.173530452;21 56 18.5485307992 -04 36 33.277147106;054.0985368714430 -43.0308119065590;-2.327 -253.281     ;26.753    ;v   -50.043   ;-50.043     ;-0.000167   ;-50.04      ;     ~   ;7.22     ;6.22     ;     ~   ;     ~   ;G8/K0III             ;  89 ;   0
8539;HIP 79581                          HD 146084                          ;*  ;16 14 13.6066942080 +05 54 06.650003412;16 14 13.6081036528 +05 54 06.663769045;16 11 45.9177110257 +06 01 38.787149364;018.6606646565679 +37.4185607710134; 43.547 -20.764     ;9.1225    ;v   -21.63    ;-21.63      ;-0.000072   ;-21.63      ;     ~   ;7.456    ;6.289    ;     ~   ;     ~   ;K2III                ;  29 ;   0
8540;HIP 1236                           V* S Scl                           ;Mi*;00 15 22.2659370192 -32 02 42.967654548;00 15 22.2666096508 -32 02 42.959908683;00 12 50.9319306777 -32 19 23.534301507;358.6702069536419 -80.7505044642606;   40.065 0.136     ;2.0156    ;v    35.00    ;35.00       ;0.000117    ;35.00       ;     ~   ;9.98     ;6.20     ;6.99     ;     ~   ;M7/8IIIe             ; 138 ;   0
8541;HIP 31789                          * psi03 Aur                        ;*  ;06 38 49.1803993848 +39 54 09.214299684;06 38 49.1822390792 +39 54 09.193150449;06 35 20.2971823986 +39 56 51.188054770;175.3186375495035 +14.7697462050331; -7.718 -11.191     ;3.6617    ;v     9.00    ;9.00        ;0.000030    ;9.00        ;4.78     ;5.254    ;5.331    ;     ~   ;     ~   ;B8III                ;  48 ;   0
8542;HIP 20360                          HD 27660                           ;*  ;04 21 37.5051749976 -06 17 02.985900684;04 21 37.5065801163 -06 17 03.000208141;04 19 10.4735366250 -06 24 04.465860011;200.2057356112084 -36.0062391510346;  8.234 -11.505     ;4.1402    ;v    -0.50    ;-0.50       ;-0.000002   ;-0.50       ;     ~   ;6.486    ;6.429    ;     ~   ;     ~   ;A1IV                 ;  19 ;   0
8543;* 32 Eri B                                                            ;*  ;03 54 17.4068786208 -02 57 10.316453616;03 54 17.4083429022 -02 57 10.328689394;03 51 46.5786893627 -03 05 57.703740063;192.0929782274172 -40.0982898352824;   26.878 1.007     ;9.6777    ;v    17.6     ;17.6        ;0.000059    ;17.60       ;     ~   ;6.19     ;6.09     ;     ~   ;     ~   ;A1V                  ;  38 ;   0
8544;HIP 97816                          HD 187420                          ;*  ;19 52 37.7211694224 -54 58 15.699975240;19 52 37.7225660223 -54 58 15.678136061;19 48 39.1834590708 -55 06 01.204022829;342.9359459362750 -30.5417519743038;   18.630 3.076     ;8.0046    ;v   -16.06    ;-16.06      ;-0.000054   ;-16.06      ;     ~   ;6.587    ;5.705    ;     ~   ;     ~   ;G8/K0III             ;  23 ;   1
8545;HIP 13244                          * nu. Hyi                          ;*  ;02 50 28.4595952008 -75 04 01.013735064;02 50 28.4559210364 -75 04 01.020513159;02 50 46.1625946955 -75 16 17.106654746;293.3530693389884 -39.7679492906965;-33.506 -26.239     ;9.457     ;v     3.09    ;3.09        ;0.000010    ;3.09        ;     ~   ;6.080    ;4.742    ;     ~   ;     ~   ;K3III                ;  50 ;   0
8546;HIP 96907                          HD 186307                          ;dS*;19 41 57.6138527237 +40 15 15.006140359;19 41 57.6153991380 +40 15 15.028019518;19 40 14.9300329672 +40 08 05.589494949;074.0986823494461 +08.4024354824298; -12.636 30.364     ;13.2404   ;v   -32.0     ;-32.0       ;-0.000107   ;-32.00      ;     ~   ;6.4      ;6.23     ;     ~   ;     ~   ;A6V                  ;  78 ;   1
8547;HIP 30867                          * bet Mon                          ;** ;06 28 49.06971 -07 01 59.0101          ;06 28 49.07118 -07 01 59.0310          ;06 26 23.52043 -06 59 58.4937          ;216.66137820 -08.21394618          ;    -6.86 -2.76     ;4.82      ;v    17.20    ;17.20       ;0.000057    ;17.20       ;2.85     ;3.59     ;3.74     ;3.75     ;3.91     ;B4Ve+B2Vn(e)+B3V:nne ; 224 ;   0
8548;HIP 91279                          HD 171994                          ;PM*;18 37 09.0598217952 +16 11 53.861220348;18 37 09.0612367380 +16 11 53.882328139;18 34 54.3660861137 +16 09 14.512258112;045.9161216861486 +10.3957325075427;  15.455 48.543     ;10.2339   ;v   -42.59    ;-42.59      ;-0.000142   ;-42.59      ;     ~   ;7.212    ;6.307    ;     ~   ;     ~   ;G8IV                 ;  45 ;   0
8549;HIP 111884                         * 41 Peg                           ;dS*;22 39 47.0111332512 +19 40 52.054058964;22 39 47.0130312613 +19 40 52.069431082;22 37 21.5046726990 +19 25 12.930317756;085.1561641791363 -33.3616455787683;  -3.003 -9.074     ;5.1385    ;v   -12.70    ;-12.70      ;-0.000042   ;-12.70      ;     ~   ;6.346    ;6.324    ;     ~   ;     ~   ;A2V                  ;  36 ;   0
8550;HIP 38872                          * N Pup                            ;*  ;07 57 18.4216067 -44 06 35.493161      ;07 57 18.4232505 -44 06 35.514968      ;07 55 41.1941356 -43 58 27.990895      ;258.9018513133 -07.8303608623      ;    -11.05 6.72     ;2.98      ;v    15.8     ;15.8        ;0.000053    ;15.80       ;     ~   ;4.899    ;5.064    ;     ~   ;     ~   ;B2III/IV             ;  49 ;   0
8551;HIP 59196                          * del Cen                          ;Be*;12 08 21.4976373 -50 43 20.738614      ;12 08 21.5008121 -50 43 20.746982      ;12 05 45.5050336 -50 26 38.360445      ;295.9963489130 +11.5682820311      ;   -49.94 -7.19     ;7.86      ;v    11.00    ;11.00       ;0.000037    ;11.00       ;1.51     ;2.39     ;2.52     ;2.48     ;2.62     ;B2Vne                ; 306 ;   0
8552;HIP 30608                          HD 45239                           ;*  ;06 25 58.8275256120 -07 53 41.941657824;06 25 58.8289895015 -07 53 41.962459475;06 23 34.2693379382 -07 51 53.570965445;217.1254815412025 -09.2274286357884;   4.702 -5.720     ;5.8229    ;v    32.00    ;32.00       ;0.000107    ;32.00       ;     ~   ;6.535    ;6.404    ;     ~   ;     ~   ;A2V                  ;  29 ;   0
8553;HIP 22701                          * ome Eri                          ;SB*;04 52 53.6699535 -05 27 09.697201      ;04 52 53.6713882 -05 27 09.713627      ;04 50 26.1338714 -05 32 05.467958      ;203.7482633947 -28.7784776566      ;   -17.86 25.57     ;13.88     ;v    -6       ;-6          ;-0.000020   ;-6.00       ;     ~   ;4.64     ;4.40     ;     ~   ;     ~   ;A9IVn                ;  70 ;   0
8554;HIP 114724                         * phi Aqr                          ;SB*;23 14 19.3582404192 -06 02 56.423128812;23 14 19.3596420115 -06 02 56.410268988;23 11 43.9943302611 -06 19 07.984574109;070.9402544256574 -58.7384702922056;36.575 -195.441     ;14.3482   ;v     2.48    ;2.48        ;0.000008    ;2.48        ;7.64     ;5.77     ;4.22     ;2.94     ;1.86     ;M1.5III              ; 129 ;   0
8555;HIP 37921                          * 11 CMi                           ;V* ;07 46 16.2012354264 +10 46 05.706137856;07 46 16.2027524418 +10 46 05.684269144;07 43 31.1006334497 +10 53 29.781481943;209.3269772987997 +17.0008012591387;-30.318 -25.278     ;10.8334   ;v    28.00    ;28.00       ;0.000093    ;28.00       ;     ~   ;5.247    ;5.237    ;     ~   ;     ~   ;A1Vnn                ;  56 ;   0
8556;HIP 46146                          * kap Leo                          ;** ;09 24 39.2587397 +26 10 56.364971      ;09 24 39.2599453 +26 10 56.345403      ;09 21 44.7734409 +26 23 55.334668      ;201.7620353422 +44.1258984422      ;  -31.64 -48.20     ;16.20     ;v    28.00    ;28.00       ;0.000093    ;28.00       ;7.00     ;5.69     ;4.46     ;3.55     ;2.92     ;K2IIIb               ; 139 ;   0
8557;[SC93] 515                                                            ;*  ;06 56 48.0 +11 50 00                   ;06 56 48.0 +11 50 00                   ;06 54 00.6 +11 54 00                   ;202.9585 +06.5393                  ;            ~ ~     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;     ~   ;6.06     ;     ~   ;     ~   ;F2Ib-II              ;   1 ;   0
8558;HIP 29568                          HD 43162                           ;LM*;06 13 45.2953762392 -23 51 42.971547996;06 13 45.2966702330 -23 51 42.991957996;06 11 41.2364064944 -23 50 52.982790869;230.8534535071292 -18.5229893586587;-47.564 111.085     ;59.885    ;v    21.91    ;21.91       ;0.000073    ;21.91       ;     ~   ;7.068    ;6.366    ;5.94     ;5.61     ;G6.5V                ; 167 ;   0
8559;HIP 88694                          HD 165185                          ;PM*;18 06 23.7195191736 -36 01 11.230597272;18 06 23.7214598447 -36 01 11.210451117;18 03 00.9201051059 -36 01 32.199869540;356.0409740257510 -07.3300005321548;  106.020 8.812     ;58.4296   ;v    15.00    ;15.00       ;0.000050    ;15.00       ;6.64     ;6.57     ;5.95     ;5.58     ;     ~   ;G1V                  ; 162 ;   0
8560;HIP 93179                          * 10 Aql                           ;a2*;18 58 46.9240671288 +13 54 23.941711692;18 58 46.9255318293 +13 54 23.963269224;18 56 29.1235478458 +13 50 16.898089079;046.1613399730049 +04.6985082771334;  0.238 -47.108     ;13.3917   ;v    17.298   ;17.298      ;0.000058    ;17.30       ;6.23     ;6.14     ;5.89     ;     ~   ;     ~   ;A7VpSrEu_Ksn         ; 281 ;   0
8561;HIP 98085                          * 10 Sge                           ;cC*;19 56 01.2628947456 +16 38 05.262056412;19 56 01.2644550877 +16 38 05.283872956;19 53 44.9127749995 +16 30 04.003583501;055.1682438836598 -06.1192184572286;   0.375 -7.100     ;1.6673    ;v    -9.91    ;-9.91       ;-0.000033   ;-9.91       ;6.45     ;6.03     ;5.36     ;6.81     ;4.789    ;F7Ib                 ; 344 ;   0
8562;HIP 19284                          HD 26038                           ;*  ;04 07 59.4169122456 +17 20 23.632332216;04 07 59.4188006377 +17 20 23.619034485;04 05 07.3617970440 +17 12 28.048877886;175.6288136350668 -24.8283383901289;   8.800 -9.831     ;7.2518    ;v   -31.64    ;-31.64      ;-0.000106   ;-31.64      ;     ~   ;7.50     ;5.94     ;     ~   ;     ~   ;K5III                ;  33 ;   1
8563;HIP 19719                          * 46 Tau                           ;** ;04 13 33.0904461000 +07 42 58.017467664;04 13 33.0921267766 +07 42 58.003752208;04 10 51.3088690126 +07 35 24.260515507;184.9316177158266 -29.9613861595804;  11.072 -9.667     ;26.1562   ;v     2.40    ;2.40        ;0.000008    ;2.40        ;5.65     ;5.65     ;5.29     ;4.94     ;4.75     ;F2V                  ; 164 ;   0
8564;HIP 89347                          HD 167162                          ;*  ;18 13 52.2219655848 +02 23 36.464271000;18 13 52.2234702943 +02 23 36.484684971;18 11 21.2238124440 +02 22 41.842324891;030.7719791142085 +09.4478454056360; -1.075 -10.343     ;2.6443    ;v    -6.09    ;-6.09       ;-0.000020   ;-6.09       ;     ~   ;7.96     ;6.40     ;     ~   ;     ~   ;K2III                ;  11 ;   0
8565;HIP 20417                          HD 27639                           ;V* ;04 22 22.7297393832 +20 49 17.087397924;04 22 22.7316846075 +20 49 17.073036092;04 19 25.9990620818 +20 42 17.226527608;175.2565597934753 -19.9750897730331;  -2.626 -1.770     ;2.0369    ;v    -7.59    ;-7.59       ;-0.000025   ;-7.59       ;     ~   ;7.86     ;5.95     ;     ~   ;     ~   ;M0III                ;  52 ;   0
8566;HIP 7607                           * ups Per                          ;PM*;01 37 59.5569926 +48 37 41.569533      ;01 37 59.5601756 +48 37 41.569562      ;01 34 54.6383940 +48 22 32.596217      ;130.8145319426 -13.5297054694      ;  61.95 -112.15     ;18.41     ;v    16.264   ;16.264      ;0.000054    ;16.26       ;6.29     ;4.85     ;3.57     ;2.61     ;1.96     ;K3-IIICN0.5          ; 229 ;   0
8567;HIP 99913                          * 18 Sge                           ;*  ;20 16 19.7881699488 +21 35 55.328401464;20 16 19.7897920215 +21 35 55.349982787;20 14 07.8689004769 +21 26 38.946797664;061.9647412113416 -07.5680400734720;  8.806 -24.826     ;10.1571   ;v    -5.17    ;-5.17       ;-0.000017   ;-5.17       ;     ~   ;7.169    ;6.110    ;     ~   ;     ~   ;K1III                ;  45 ;   0
8568;HIP 14862                          HD 19275                           ;PM*;03 11 56.2691616816 +74 23 37.169888028;03 11 56.2754810260 +74 23 37.161193977;03 06 27.6857470585 +74 12 22.047766420;132.1147118636594 +14.0839408059162; 14.158 -86.811     ;19.6409   ;v    11.90    ;11.90       ;0.000040    ;11.90       ;     ~   ;4.878    ;4.834    ;     ~   ;     ~   ;A2Vnn                ;  53 ;   0
8569;HIP 33302                          * pi. CMa                          ;PM*;06 55 37.4304387192 -20 08 11.388856308;06 55 37.4318663667 -20 08 11.410360063;06 53 27.2822401868 -20 04 17.171348511;231.4381473161980 -08.1471096304768;  51.109 39.971     ;33.5731   ;v     8.0     ;8.0         ;0.000027    ;8.00        ;     ~   ;5.027    ;4.664    ;     ~   ;     ~   ;F1.5V                ;  80 ;   0
8570;HIP 105259                         HD 203338                          ;s*r;21 19 15.6852148728 +58 37 24.624258456;21 19 15.6877616093 +58 37 24.644051106;21 17 52.5609959178 +58 24 41.304262401;098.1836695151462 +06.3567306913051;  -1.893 -4.751     ;0.5546    ;v   -13.11    ;-13.11      ;-0.000044   ;-13.11      ;7.09     ;7.09     ;5.75     ;4.26     ;2.93     ;M1Ibep               ; 116 ;   0
